"Time","SPSC","SPSC_Reg","SPSC_LB","SPSC_UB","SPSC_Reg_LB","SPSC_Reg_UB"
287,-0.885003241101907,-0.726468168206143,-0.913003241101907,-0.841003241101907,-0.830468168206143,-0.624468168206143
288,-0.895124101659364,-0.744972157208037,-0.923124101659364,-0.849124101659364,-0.848972157208037,-0.642972157208037
289,-0.913788254785594,-0.745740579104953,-0.935788254785594,-0.859788254785594,-0.849740579104953,-0.643740579104953
290,-0.913671494090508,-0.747130871779446,-0.933671494090508,-0.855671494090508,-0.851130871779446,-0.645130871779446
291,-0.920144882235473,-0.750989965293729,-0.938144882235473,-0.860144882235473,-0.854989965293729,-0.648989965293729
292,-0.933377115385341,-0.764534507780012,-0.951377115385341,-0.87337711538534,-0.868534507780012,-0.662534507780012
293,-0.939981490627611,-0.766751475214987,-0.957981490627611,-0.879981490627611,-0.870751475214987,-0.664751475214987
294,-0.925744195817227,-0.764301404769694,-0.945744195817227,-0.863744195817227,-0.868301404769694,-0.662301404769694
295,-0.954724962263716,-0.790707688868055,-0.972724962263716,-0.890724962263716,-0.894707688868055,-0.688707688868055
296,-0.951549810758607,-0.79171722215242,-0.971549810758607,-0.891549810758607,-0.89571722215242,-0.68971722215242
297,-0.961987695135639,-0.795734907073604,-1.09998769513564,-0.895987695135638,-0.899734907073604,-0.693734907073604
298,-0.959858377307899,-0.796154196961738,-0.977858377307899,-0.895858377307899,-0.900154196961738,-0.694154196961738
299,-0.964108077404862,-0.797607672845401,-0.982108077404863,-0.902108077404862,-0.901607672845401,-0.695607672845401
300,-0.967405156868322,-0.801419876398209,-1.10540515686832,-0.903405156868322,-0.905419876398209,-0.699419876398209
301,-0.964634253332932,-0.799467402611243,-0.984634253332932,-0.904634253332932,-0.903467402611243,-0.697467402611243
302,-0.967566813059131,-0.802399962337442,-0.987566813059131,-0.907566813059131,-0.906399962337442,-0.700399962337442
303,-0.968422697539031,-0.803570519152495,-0.988422697539031,-0.908422697539031,-0.907570519152495,-0.701570519152495
304,-1.00832115595918,-0.843468977572644,-1.02832115595918,-0.94832115595918,-0.947468977572644,-0.741468977572644
305,-1.01030873484306,-0.842832214495346,-1.03030873484306,-0.950308734843061,-0.946832214495345,-0.740832214495345
306,-1.01115857579006,-0.843010307214961,-1.15115857579006,-0.951158575790056,-0.947010307214961,-0.741010307214961
307,-1.01054014542994,-0.842707344822538,-1.15054014542994,-0.950540145429941,-0.946707344822538,-0.740707344822538
308,-1.01054014542994,-0.842707344822538,-1.15054014542994,-0.950540145429941,-0.946707344822538,-0.740707344822538
309,-1.02694182866539,-0.837452717509598,-1.15094182866539,-0.966941828665392,-0.941452717509598,-0.735452717509598
310,-1.04787289222505,-0.858055322050757,-1.16987289222505,-0.985872892225054,-0.962055322050757,-0.756055322050757
311,-1.04725289423244,-0.857751591692007,-1.17125289423244,-0.985252894232439,-0.961751591692007,-0.755751591692007
312,-1.04725289423244,-0.857751591692007,-1.17125289423244,-0.985252894232439,-0.961751591692007,-0.755751591692007
313,-1.0641277270485,-0.874118061484322,-1.1881277270485,-1.0041277270485,-0.978118061484322,-0.772118061484322
314,-1.06350615345573,-0.873813559255979,-1.18750615345573,-1.00350615345573,-0.977813559255979,-0.771813559255978
315,-1.07007453284886,-0.880550924630162,-1.19407453284886,-1.00807453284886,-0.984550924630162,-0.778550924630162
316,-1.07007453284886,-0.880550924630162,-1.19407453284886,-1.00807453284886,-0.984550924630162,-0.778550924630162
317,-1.06945137562739,-0.880245646599124,-1.19345137562739,-1.00745137562739,-0.984245646599124,-0.778245646599124
318,-1.06945137562739,-0.880245646599124,-1.19345137562739,-1.00745137562739,-0.984245646599124,-0.778245646599124
319,-1.06944343345105,-0.879726780365444,-1.19344343345105,-1.00944343345105,-0.983726780365444,-0.777726780365444
320,-1.07098827922699,-0.895345356557568,-1.21298827922699,-1.00698827922699,-0.997345356557568,-0.793345356557568
321,-1.07098827922699,-0.895345356557568,-1.21298827922699,-1.00698827922699,-0.997345356557568,-0.793345356557568
322,-1.07739174894208,-0.892467971761295,-1.21539174894208,-1.00939174894208,-0.994467971761295,-0.790467971761295
323,-1.07739174894208,-0.892467971761295,-1.21539174894208,-1.00939174894208,-0.994467971761295,-0.790467971761295
324,-1.07374231797276,-0.890898091130724,-1.21574231797276,-1.00774231797276,-0.992898091130724,-0.788898091130724
325,-1.0686822714363,-0.889798724976536,-1.2146822714363,-0.998682271436299,-0.991798724976536,-0.787798724976536
326,-1.02818581691973,-0.873565458686118,-1.20618581691973,-0.960185816919731,-0.975565458686118,-0.771565458686118
327,-1.01432810641266,-0.862356161861178,-1.19632810641266,-0.948328106412657,-0.964356161861178,-0.760356161861178
328,-1.00627219721836,-0.855859499999114,-1.19027219721836,-0.940272197218357,-0.957859499999114,-0.753859499999114
329,-0.998279460515786,-0.849431812492681,-1.18427946051579,-0.932279460515786,-0.951431812492681,-0.747431812492681
330,-0.94077563306544,-0.809007124600329,-1.15877563306544,-0.88277563306544,-0.911007124600329,-0.707007124600329
331,-0.925800180027339,-0.795077125369123,-1.14580018002734,-0.869800180027338,-0.897077125369123,-0.693077125369123
332,-0.897668840228949,-0.768134499935698,-1.11966884022895,-0.841668840228949,-0.870134499935698,-0.666134499935698
333,-0.887767697513576,-0.761127891340976,-1.11176769751358,-0.831767697513576,-0.863127891340976,-0.659127891340976
334,-0.870831779268959,-0.750625849770134,-1.10283177926896,-0.818831779268959,-0.852625849770134,-0.648625849770134
335,-0.962213783434707,-0.772930518910699,-1.10421378343471,-0.888213783434707,-0.874930518910699,-0.670930518910699
336,-0.866628261027977,-0.749292920106948,-1.10262826102798,-0.816628261027977,-0.851292920106948,-0.647292920106948
337,-0.867804987965559,-0.750282309717236,-1.10380498796556,-0.817804987965559,-0.852282309717236,-0.648282309717236
338,-0.868847288424591,-0.751323374068009,-1.10284728842459,-0.816847288424591,-0.853323374068009,-0.649323374068009
339,-0.852504036191892,-0.744585026386002,-1.09450403619189,-0.806504036191892,-0.846585026386002,-0.642585026386002
340,-0.852504036191892,-0.744585026386002,-1.09450403619189,-0.806504036191892,-0.846585026386002,-0.642585026386002
341,-0.853544695063917,-0.745625286540925,-1.09554469506392,-0.807544695063917,-0.847625286540925,-0.643625286540925
342,-0.890579460010164,-0.754924016299542,-1.09457946001016,-0.830579460010164,-0.856924016299542,-0.652924016299542
343,-0.890571354497865,-0.754394479248452,-1.09457135449787,-0.830571354497865,-0.856394479248452,-0.652394479248452
344,-0.900262844011543,-0.750039630108752,-1.09626284401154,-0.834262844011543,-0.852039630108752,-0.648039630108752
345,-0.939838049699742,-0.772532325751871,-1.12183804969974,-0.863838049699742,-0.874532325751871,-0.670532325751871
346,-0.93919435253889,-0.772523474047692,-1.12119435253889,-0.86319435253889,-0.874523474047692,-0.670523474047692
347,-0.948094794984429,-0.771538632123225,-1.13209479498443,-0.866094794984429,-0.873538632123225,-0.669538632123225
348,-0.948094794984429,-0.771538632123225,-1.13209479498443,-0.866094794984429,-0.873538632123225,-0.669538632123225
349,-0.95551694957205,-0.767955559044146,-1.13351694957205,-0.86751694957205,-0.869955559044146,-0.665955559044146
350,-0.953108928483098,-0.767138147285803,-1.1671089284831,-0.867108928483098,-0.869138147285803,-0.665138147285803
351,-0.954704063266626,-0.770574590102634,-1.16670406326663,-0.868704063266626,-0.872574590102634,-0.668574590102634
352,-0.956458439315601,-0.771371378537322,-1.1664584393156,-0.870458439315601,-0.873371378537322,-0.669371378537322
353,-0.956458439315601,-0.771371378537322,-1.1664584393156,-0.870458439315601,-0.873371378537322,-0.669371378537322
354,-0.957594470531059,-0.771569251683204,-1.13159447053106,-0.869594470531059,-0.873569251683204,-0.669569251683204
355,-0.962816142963891,-0.773358961881116,-1.17681614296389,-0.870816142963891,-0.875358961881116,-0.671358961881116
356,-0.959478540596098,-0.768260521021828,-1.1714785405961,-0.867478540596098,-0.870260521021828,-0.666260521021828
357,-0.954470151474363,-0.763252131900093,-1.16647015147436,-0.862470151474363,-0.865252131900093,-0.661252131900093
358,-0.954714363498486,-0.762734801514764,-1.16471436349849,-0.860714363498486,-0.864734801514764,-0.660734801514764
359,-0.953024951802108,-0.761654692728507,-1.16302495180211,-0.859024951802108,-0.863654692728507,-0.659654692728507
360,-0.95117378843577,-0.759853462023394,-1.16117378843577,-0.85717378843577,-0.861853462023394,-0.657853462023394
361,-0.951236516094375,-0.758699955536637,-1.15923651609437,-0.855236516094375,-0.860699955536637,-0.656699955536637
362,-0.952803483144754,-0.753995156726864,-1.15280348314475,-0.854803483144754,-0.855995156726864,-0.651995156726864
363,-0.952240417961585,-0.752551906179974,-1.15224041796159,-0.854240417961585,-0.854551906179974,-0.650551906179974
364,-0.952983503672575,-0.752508558655446,-1.18298350367258,-0.850983503672575,-0.854508558655446,-0.650508558655446
365,-0.97438426646712,-0.767101182955083,-1.20438426646712,-0.86238426646712,-0.869101182955083,-0.665101182955083
366,-0.973732780966627,-0.763293274871501,-1.20573278096663,-0.857732780966626,-0.865293274871501,-0.661293274871501
367,-0.975310722028224,-0.761436612640399,-1.20731072202822,-0.855310722028224,-0.863436612640399,-0.659436612640399
368,-0.963028003404013,-0.760251847937809,-1.19102800340401,-0.851028003404013,-0.862251847937809,-0.658251847937809
369,-0.959406141064422,-0.761334949019936,-1.18540614106442,-0.851406141064422,-0.863334949019936,-0.659334949019936
370,-0.942603641737342,-0.76807044178223,-1.14660364173734,-0.844603641737341,-0.87007044178223,-0.66607044178223
371,-0.925121820235554,-0.775660520530156,-1.10312182023555,-0.839121820235554,-0.879660520530156,-0.673660520530156
372,-0.923531439307667,-0.77754030580411,-1.10353143930767,-0.839531439307667,-0.88154030580411,-0.67554030580411
373,-0.919752934885907,-0.778910006745682,-1.10375293488591,-0.837752934885907,-0.882910006745682,-0.676910006745682
374,-0.918834353169952,-0.779585417449585,-1.10083435316995,-0.834834353169952,-0.883585417449585,-0.677585417449585
375,-0.928236536021235,-0.78619436678769,-1.10423653602123,-0.840236536021234,-0.89019436678769,-0.68419436678769
376,-0.907096657164113,-0.793171043615001,-1.09709665716411,-0.831096657164113,-0.897171043615001,-0.691171043615
377,-0.909313574754183,-0.796183683433838,-1.09731357475418,-0.831313574754183,-0.900183683433838,-0.694183683433838
378,-0.906796567100439,-0.797314695194215,-1.09679656710044,-0.830796567100439,-0.901314695194215,-0.695314695194215
379,-0.912517735407433,-0.798446492286402,-1.09851773540743,-0.834517735407433,-0.902446492286402,-0.696446492286402
380,-0.900708781293241,-0.796669433592792,-1.08670878129324,-0.832708781293241,-0.900669433592792,-0.694669433592791
381,-0.922283586158249,-0.800854192464899,-1.08628358615825,-0.848283586158249,-0.904854192464899,-0.698854192464899
382,-0.927691657015398,-0.802103852096849,-1.0956916570154,-0.851691657015398,-0.906103852096849,-0.700103852096849
383,-0.932497817986302,-0.803246616681862,-1.0964978179863,-0.854497817986302,-0.907246616681862,-0.701246616681862
383,-0.932497817986302,-0.803246616681862,-1.0964978179863,-0.854497817986302,-0.907246616681862,-0.701246616681862
384,-0.938424522057501,-0.801558824061813,-1.0964245220575,-0.858424522057501,-0.905558824061813,-0.699558824061812
